# RD,State Code,County Code,Site ID,Parameter Code,Parameter,Parameter Abbreviation,Parameter Alternate Name,CAS Number,POC,Sample Duration,Unit Code,Units,Method Code,Date,Start Time,Sample Value,Null Data Code,Sampling Frequency,Qualifier - 1,Qualifier - 2,Qualifier - 3,Alternate Method Detectable Limit,Makeup Sample,Standard Units,Still Valid,Round or Truncate,MAAC ppb,MAAC ug/m3,Type
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-11-06,1900-01-01,0.699,,,,,,0.00649,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-11-20,1900-01-01,0.682,,,,,,0.00647,True,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-11-24,1900-01-01,0.615,,,,,,0.00661,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-11-30,1900-01-01,0.595,,,,,,0.00659,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-12-06,1900-01-01,0.264,,,,,,0.00622,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-12-12,1900-01-01,0.322,,,,,,0.00692,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-12-18,1900-01-01,0.868,,,,,,0.00669,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-12-24,1900-01-01,0.736,,,,,,0.00744,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2021-12-30,1900-01-01,0.499,,,,,,0.00699,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,7,7,3,Nanograms/cubic meter (25 C),89,2021-11-12,1900-01-01,0.235,,,,,,0.00674,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,7,7,3,Nanograms/cubic meter (25 C),89,2021-11-18,1900-01-01,0.386,,,,,,0.00643,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-01-05,1900-01-01,0.391,,,,,,0.00676,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-01-11,1900-01-01,0.244,,,,,,0.00697,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-01-17,1900-01-01,0.395,,,,,,0.00694,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-01-23,1900-01-01,0.317,,,,,,0.00692,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-01-29,1900-01-01,0.39,,,,,,0.00695,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-02-04,1900-01-01,0.21,,,,,,0.00667,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-02-10,1900-01-01,0.292,,,,,,0.00735,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-02-16,1900-01-01,0.435,,,,,,0.00778,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-02-22,1900-01-01,0.543,,,,,,0.00706,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-03-01,1900-01-01,0.381,,,,,,0.00759,True,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-03-06,1900-01-01,0.266,,,,,,0.0073,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-03-12,1900-01-01,0.25,,,,,,0.00724,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-03-18,1900-01-01,0.102,,,,,,0.00743,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-03-24,1900-01-01,0.153,,,,,,0.00709,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-03-30,1900-01-01,0.512,,,,,,0.00734,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-04-05,1900-01-01,0.615,,,,,,0.00765,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-04-11,1900-01-01,0.576,,,,,,0.00754,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
RD,40,109,1037,12103,Arsenic (TSP) STP,AS,,7440-38-2,6,7,3,Nanograms/cubic meter (25 C),89,2022-04-17,1900-01-01,0.74,,,,,,0.00731,False,Micrograms/cubic meter (25 C),YES,R,,0.02,Carcinogen
