Parameter,Parameter Code,Method Code (no format),Method Code,Recording Mode,Collection Description,Analysis Description,Method Type,Reference Method ID,Equivalent Method,Federal MDL,Min Value,Max Value,Digits,Round Truncate Indicator,Units
"2,2-Dimethylbutane",43244,91,091,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,120,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,122,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,123,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,125,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,128,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,135,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,136,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,137,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,,,,0.36,-0.36,,2,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,142,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),,,,0.9081,-0.9081,,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,146,146,Intermittent,6L PRESSURIZED CANISTER,PE8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,147,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.3,-0.3,,2,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,148,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,152,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GC/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,177,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,2-Dimethylbutane",43244,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,91,091,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,120,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,122,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,123,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,125,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,128,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,135,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,136,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,137,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,,,,0.48,-0.48,,2,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,142,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),,,,0.61333,-0.61333,,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,146,146,Intermittent,6L PRESSURIZED CANISTER,PE8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,147,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.59,-0.59,,2,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,148,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,152,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,177,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3,4-Trimethylpentane",43252,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,91,091,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,120,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,122,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,123,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,125,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,128,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,136,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,137,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,,,,0.1,,,2,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,142,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),,,,0.78538,-0.78538,,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,146,146,Intermittent,6L PRESSURIZED CANISTER,PE8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,147,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.28,-0.28,,2,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,148,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,152,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GC/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,177,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylbutane",43284,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,91,091,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,120,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,122,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,123,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,125,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,3,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,128,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,135,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,136,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,137,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,,,,0.1,,,2,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,142,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),,,,0.70544,-0.70544,,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,146,146,Intermittent,6L PRESSURIZED CANISTER,PE8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,147,147,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - SATURN II GC/FID,,,,0.29,-0.29,,2,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,148,148,Intermittent,6L PRESSURIZED CANISTER,ENTECH PRECON - HP GC/FTIR/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,149,149,Intermittent,6L SUBATM CANISTER,Entech Precon-  GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,150,150,Intermittent,SS 6L- PRESSURIZED CANISTER,CRYOGENIC PRECON: GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,152,152,Intermittent,SS-CANISTER-AMBIENT,PRECONCENTRATOR GC/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,175,175,Intermittent,Passivated Canister,Cryogenic Preconcentration GC/MS,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,177,177,Intermittent,SS Canister Pressurized,Preconcentrator GC/FID/MSD,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,221,221,Continuous,Preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,222,222,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response - factor adjusted,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,223,223,Continuous,preconcentrator trap/thermal desorber - no drier,CAS AirmOzone - benzene response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,224,224,Continuous,preconcentrator trap/thermal desorber - Nafion drier,CAS AirmOzone - butane response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,225,225,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,226,226,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,227,227,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,228,228,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - carbon response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,229,229,Continuous,preconcentrator trap/thermal desorber - Nafion drier,PerkinElmer auto-GC dual FID – individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,230,230,Continuous,preconcentrator trap/thermal desorber - Nafion drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,231,231,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes Unity TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,3-Dimethylpentane",43291,232,232,Continuous,preconcentrator trap/thermal desorber - electronic drier,Markes CIA TD/Agilent GC dual FID - individual compound response,,,,0.5,-1,1000,4,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,91,091,Continuous,MANUAL,FLAME IONIZATION,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,101,101,Intermittent,CANISTER SUBAMBIENT PRESSURE,MULTI DETECTOR GC,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,120,120,Intermittent,SORBANT TUBE-CARBOSIEVE-C-TRAP,GAS CHROMATOGRAPH W/FLAME; GC FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,122,122,Intermittent,6L AMBIENT CANISTER,DUAL FID - PAMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,123,123,Intermittent,6L PRESSURIZED CANISTER,DUAL FID - PAMS,,,,0.01,-0.01,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,125,125,Continuous,PRECONCENTRATION TRAP,CHROMPACK AUTOMATED GC- SUBAMB FID,,,,0.136,-0.136,,3,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,126,126,Intermittent,SS CANISTER PRESSURIZED,CRYOGENIC PRECONCENTRATION GC/FID,,,,0.1,-0.1,,2,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,127,127,Intermittent,6L SUBAMBIENT SS-CANISTER,INCOS 50XL GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,128,128,Continuous,PRECONCENTRATION TRAP,PE 8700;AUTO GC;SUBAMBIENT-DUAL FID,,,,0.01,-0.01,,2,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,129,129,Intermittent,6L SUBAMBIENT SS-CANISTER,VARIAN SATURN-2 GC/MS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,135,135,Continuous,INSTRUMENTAL,ENTECH CRYFOCUS/VARIAN GC/FINN DTMS,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,136,136,Continuous,INSTRUMENTAL,ENTECH 2000 W/ MS/FID,,,,0.1,-0.1,,1,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,137,137,Continuous,Instrumental,AIRCO-VOC C6/C12 GC/FID,,,,0.42,-0.42,,2,R,Parts per billion Carbon
"2,4-Dimethylpentane",43247,142,142,Continuous,Preconcen trap/Thermal Desorber,Auto GC (PE Clarus 500 dual col),,,,0.63553,-0.63553,,4,R,Parts per billion Carbon
